252 0 431 67	6 502 1 182 265 185 425
0 6 2 7	1 70 176 924 35 998 71 59
461 1665 2151 495	2159 1454 4870 1430 6023 1438 5959 453
3460 3494 567 1385 1833	1854 1856 1837 1829 1843 3468 3485 2905 2930
58 6511 413 12 6484	6453 1973 6466 74 31 1979 6467 1978 6414 505
4 393 92 3	45 5 10 6536 1426 7 1035 1943
6735 0 6710 13	3 6 2 59 5 4 1
227 113 177 34	237 175 14 125 61 362 607
5198 6409 5212 5192	5215 5220 6506 6445 6402 5202 5201
0 6 2 7	1 70 176 924 35 998 71 59
6845 4125 121 1826	101 6 6885 1835 244 6899 1857 12 567
10 6836 121 6	6973 7 1835 244 1857 12 567 6872 1826
263 1557 535 2	257 244 1 121 0 29 12 209
6526 146 0 2658	2 18 2409 1 1336 74 6530 177
10 4 25 5971 247	3 6052 2861 2481 9 7 30 205 1446 13 24
265 121 33 118 9649	1085 2036 1994 819 1029 502 1999 2031 240 45
3362 2 7545 1 70	146 91 0 176 11 7563 177 20 19
15 947 209 35	580 1078 33 257 1410 121 473
3490 567 1385 1833	3487 2930 1854 1856 1837 1574 1829 1843
6393 4 2642 6463 3	6457 6441 6475 26 1284 6455 6413 6461 6444 11 12
10 4 13 75	3 144 6054 7 5996 6003 123 6004
6247 4 87 188	3 26 23 38 68 465 404
74 0 924 2	7 1 176 179 998 71 59
15 4 12 188	3 26 1994 6 1999 45 3096
5997 4211 3041 2774	6007 3034 214 5969 3505 3496 142 1319
4 12156 1994 53	12 13 3 147 1999 45 3096 5
15 6490 6404 12	6480 6415 6488 6509 119 6421 6433 2499 42
2235 4 247 12	6 9 6347 6367 178 3 49
1446 10 6047 4 247	3 2481 9 7 30 205 2182 25 24
242 177 607 34	175 2637 113 6398 362 187 237 14 6437
6514 91 6454 2642	2658 260 296 3010 2637 6435 3012
2660 47 53 31	6035 1359 19 45 253 6016 1465 6034
82 70 374 11	7 261 299 1533 872 333 1284
2036 90 54 23 121	0 580 2 819 1029 1426 2031 240 1
6458 6451 819 1889	70 121 146 6470 6501 6472 6476
