8 16782 50 5 65 3301 4 72 12725,27127 2 2149 2271 0 28382 36834 50 2334,28
3566 4430 2398 2858 3681 3436 111503 248 4422 3171 4428,4365 26775 29123 21924 13280 25093 27894 26706 22517 26588 22680,47
400 7 17 14 11 12 4175,23 10117 80 23423 83 49 26 16,21
73 4419 16760 2696 4382 16677 4447 4441 16480,4499 44287 10008 2072 11615 13630 18604 1776 880 2152,38
4387 4388 29715 37 3722 4432 7221 4392 3717 1906 1716,6263 1419 1394 2606 1746 11074 1301 2540 1089 194,40
8 2939 920 29749 1071 29030 28603 4686 6419,9 92249 95 16 4 41 11555 10090,32
11806 2696 153 5940 0 11687 356 2 160 90 97,128 194 265 9247 355 623 783 128,30
2854 41 32 187 16542 9136 16685 1769 225,22543 566 131 190 17 650 123,25
7100 36 7102 16 7095 7115 7110,4076 767 8859 1 750 1 26306 0,22
3844 3965 13745 13629 3836 13559 13604 1425 3850 13764 416,2849 21 44373 36256 13079 13141 47259 15441 34232 35008 32208,41
1510 139 2579 315 633 1202 90 120 97,648 233 138 0 202 77 16 18,23
2696 29109 4385 30189 4450 248 29661 29924,113 2409 133 17 291 630 303 258,29
3 3202 9 7 29 210 2754 20 10359 2696 18,10504 201 44 88 74 27 103 125 28 903 97,26
3679 4128 17 11089 4155 4733 4263 3663 4273 11086 447 3443,1040 323 119 0 9 304 2 6 22 653 224 44,39
8 16782 50 5 65 3301 4 72 12725,27127 2 2149 2271 0 28382 36834 50 2334,28
4430 2398 11860 2858 3681 3436 4422 3171 4428,909 405 15066 62644 6377 6644 6648 1085 515 11492 1884,39
400 7 17 14 11 12 4175,23 10117 80 23423 83 49 26 16,21
73 4419 16760 2696 4382 16677 4447 4441 16480,4499 44287 10008 2072 11615 13630 18604 1776 880 2152,38
4387 4388 29715 37 3722 4432 7221 4392 3717 1906 1716,6263 1419 1394 2606 1746 11074 1301 2540 1089 194,40
8 2939 920 29749 1071 29030 28603 4686 6419,9 92249 95 16 4 41 11555 10090,32
11806 2696 153 5940 0 11687 356 2 160 90 97,128 194 265 9247 355 623 783 128,30
2854 41 32 187 16542 9136 16685 1769 225,22543 566 131 190 17 650 123,25
7100 36 7102 16 7095 7115 7110,4076 767 8859 1 750 1 26306 0,22
3844 3965 13745 13629 3836 13559 13604 1425 3850 13764 416,2849 21 44373 36256 13079 13141 47259 15441 34232 35008 32208,41
1510 139 2579 315 633 1202 90 120 97,648 233 138 0 202 77 16 18,23
2696 29109 4385 30189 4450 248 29661 29924,113 2409 133 17 291 630 303 258,29
3 3202 9 7 29 210 2754 20 10359 2696 18,10504 201 44 88 74 27 103 125 28 903 97,26
3679 4128 17 11089 4155 4733 4263 3663 4273 11086 447 3443,1040 323 119 0 9 304 2 6 22 653 224 44,39
8 16782 50 5 65 3301 4 72 12725,27127 2 2149 2271 0 28382 36834 50 2334,28
4430 2398 11860 2858 3681 3436 4422 3171 4428,909 405 15066 62644 6377 6644 6648 1085 515 11492 1884,39
400 7 17 14 11 12 4175,23 10117 80 23423 83 49 26 16,21
