8027 3286 8186 38	29 685 15 86 364 2074 2154
82 510 53 552 571	1770 172 265 87 573 595 553 1780 93 503 1471
1155 260 957 1096	1097 1098 73 1608 1100 672 23
4936 5267 5468 20	2707 803 1112 127 4301 3747 105 1740 4037
223 17 77 6 41	1929 1341 3219 5 356 22 40 328 63 1972 587
11626 1347 15882 1913	19 44 6 324 19 5 289 883 44 1
103 306 1186 400 589 241	280 265 227 412 91 307 393 53 585 404 237 211
2434 154 2065 20	388 1602 1748 1895 3239 1838 2438
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 660 2217 36 2215	47 24 30 2210 2214 2213 32 2216 12
948 378 114 458 298	78 482 37 2 299 1083 18 33 1 0
84 75 87 661	53 44228 6663 40067 526 59 1666
25364 30049 27295 29079 1309 26534	1925 23932 30426 112 111 33132 54682 39 4933 39 193
116 256 926 901	119 1724 1725 1059 1723 814 8 1394 15
165 16 6 789 5	88 14 419 11046 18949 11836 15 119 293
1542 635 569 99 1541	1540 94 473 1490 201 13 52 259 478
381 908 1105 709	958 1008 55 563 13 812 10 3084
11 1595 866 895	895 504 17 878 500 2194 921 2190 913
3136 119 611 1551	1444 733 1424 2317 857 1549 1547
7 318 97 0	49 484 2 3 1 10 21
35 270 706 264	43 343 715 76 793 127 262 919 700
731 374 1764 670	2005 2002 2004 52 207 666 266
521 298 135 529 149	1226 1225 294 299 134 108 1227 92 868 980 34
7 30 169 49	168 137 110 431 9 454 27 118
384 169 119 323	649 168 118 220 2086 2087 103
1015 401 1498 759	10 222 1512 258 11 1503 98 76 443
929 532 26 785 9 524	525 36 47 531 24 25 1206 7 1205 32 1204 1197
948 378 114 458 0	298 482 37 2 299 1083 33 18 1
31 11 77 0	4 8 15 1 2 191 3
17 574 909 0 85	3 335 1 13 871 399 56 2 581
6440 6444 6302 6349 6463 6431	62 90 1908 163 112 1799 111 6428 39 6426 6460 6373 6466
7 30 169 9	49 168 454 137 110 4314 1178 217
9 341 8 294 1061	116 16 7 1060 482 88 14 137 110 12 15
11 77 0 4	8 15 1 31 2 191 3
763 0 518 5	2 22 18 1 6 424 143 773
0 14 8 2	128 3 1 116 69 31 16
2256 2 60 48	18 113 60 162 14 23 503 5 215
11 622 5 46	2 22 1 676 523 0 41 18 40
17 0 1722 1734	4077 178 2 2899 1 31 2405 5864 3846
233 366 2065 47	1328 932 2 408 1 17 19 0 3
899 55 208 415	19 229 624 28 124 286 497
3215 433 847 151	2553 83 2512 409 403 398 2545
433 84 75 53 667	8 409 1077 823 403 269 338 714 398 15
1395 84 75 1406	87 416 104 53 96 1165 115 12 567
6 0 4 2790	7871 5 2 44 1 4172 1736 10
2397 4162 1309 2395 4405 24	897 7 192 1721 32 4413 950 4421 845 25 4423
304 0 4 809	856 2 933 1 17 936 932 55
5470 1250 9 173	5498 4035 5502 5469 5457 5516 102
1791 11 0 230	10629 56 2 148 1 3 18
363 182 121 458 0	1954 271 2 300 1 884 177 13 46
3010 6961 4091 7011 73	7552 3990 185 6946 7478 2800 10326 6378 130 13 9333
35 97 3990 98	43 3639 3209 76 793 107 262 26 474
7 30 169 49	168 137 110 431 9 454 27 118
0 960 99 56 2 167	320 438 639 851 13 38 439 982 94 1 876
384 169 119 323	649 168 118 220 2086 2087 103
1961 730 579 185 297	2732 127 665 33 153 188 674 43 2733 1387 2727
2676 47 3749 24	2679 12 26692 6235 90 10308
866 925 504 17	878 11 1455 1443 500 921 895 913
7 75 0 1408 368 1431	37 2 1312 12 467 1 1315 499 21 27 3 987
